index,prompt_id,politician,prompt_version,query,event,website,domain,year,region,common_domain
339,prompt7_repetition0_medium,Alexandria Ocasio-Cortez,values,clerk.house.gov roll call 60 2021 House Roll no. 60 H.R. 1280 vote detail,,,clerk.house.gov,,US,house.gov
340,prompt7_repetition0_medium,Alexandria Ocasio-Cortez,values,clerk.house.gov Votes Uyghur Forced Labor Prevention Act H.R. 6256 House roll call 2021 Ocasio-Cortez,,,clerk.house.gov,,US,house.gov
341,prompt7_repetition0_medium,Alexandria Ocasio-Cortez,values,clerk.house.gov Votes 2021 H.R. 1620 Violence Against Women Act Roll call AOC vote,,,clerk.house.gov,,US,house.gov
342,prompt7_repetition0_medium,Alexandria Ocasio-Cortez,values,House roll call COVID-19 Hate Crimes Act S.937 2021 House vote AOC vote clerk.house.gov,,,clerk.house.gov,,US,house.gov
345,prompt7_repetition1_medium,Alexandria Ocasio-Cortez,values,clerk.house.gov roll 39 2021 Equality Act H.R. 5 vote 117th,,,clerk.house.gov,,US,house.gov
346,prompt7_repetition1_medium,Alexandria Ocasio-Cortez,values,clerk.house.gov H.R. 1333 NO BAN Act roll call vote 2021 'On Passage' clerk,,,clerk.house.gov,,US,house.gov
347,prompt7_repetition1_medium,Alexandria Ocasio-Cortez,values,clerk.house.gov 2021 roll 86 H.R. 1620 vote 117th Violence Against Women Reauthorization Act roll call 86,,,clerk.house.gov,,US,house.gov
348,prompt7_repetition1_medium,Alexandria Ocasio-Cortez,values,clerk.house.gov roll 412 2021 H.R.1155 Uyghur Forced Labor Prevention Act roll call 412 AOC Yea,,,clerk.house.gov,,US,house.gov
350,prompt7_repetition1_medium,Alexandria Ocasio-Cortez,values,H.R. 1573 Access to Counsel Act vote roll call 2021 clerk.house.gov AOC,,,clerk.house.gov,,US,house.gov
352,prompt7_repetition1_medium,Alexandria Ocasio-Cortez,values,clerk.house.gov Votes 2021129 Access to Counsel Act On Passage 217-207 Ocasio-Cortez Yea,,,clerk.house.gov,,US,house.gov
354,prompt7_repetition2_medium,Alexandria Ocasio-Cortez,values,House Roll Call Uyghur Forced Labor Prevention Act final passage 2021 clerk.house.gov roll call,,,clerk.house.gov,,US,house.gov
355,prompt7_repetition2_medium,Alexandria Ocasio-Cortez,values,Roll Call 60 2021 House H.R. 1280 George Floyd Justice in Policing Act clerk.house.gov,,,clerk.house.gov,,US,house.gov
356,prompt7_repetition2_medium,Alexandria Ocasio-Cortez,values,H.J.Res. 37 116th Congress Yemen War Powers House roll call clerk.house.gov 2019,,,clerk.house.gov,,US,house.gov
357,prompt7_repetition2_medium,Alexandria Ocasio-Cortez,values,clerk.house.gov Roll Call 78 116th 2019 Yemen HJRes 37 recorded vote by name Ocasio-Cortez,,,clerk.house.gov,,US,house.gov
358,prompt7_repetition2_medium,Alexandria Ocasio-Cortez,values,clerk.house.gov Feb 13 2019 On passage H.J.Res.37 roll call list,,,clerk.house.gov,,US,house.gov
359,prompt7_repetition2_medium,Alexandria Ocasio-Cortez,values,clerk.house.gov Roll Call 83 2019 House Yemen H.J.Res.37 vote details by name,,,clerk.house.gov,,US,house.gov
360,prompt7_repetition2_medium,Alexandria Ocasio-Cortez,values,clerk.house.gov roll call vote Uyghur Forced Labor Prevention Act House 2021 roll call member list,,,clerk.house.gov,,US,house.gov
362,prompt7_repetition2_medium,Alexandria Ocasio-Cortez,values,clerk.house.gov Roll Call 217 2021 Equality Act H.R. 5 Ocasio-Cortez Yea,,,clerk.house.gov,,US,house.gov
364,prompt7_repetition2_medium,Alexandria Ocasio-Cortez,values,clerk.house.gov Roll Call 60 2021 House,,,clerk.house.gov,,US,house.gov
367,prompt7_repetition3_medium,Alexandria Ocasio-Cortez,values,clerk.house.gov H.J.Res. 37 Yemen Roll Call final passage 2019 House,,,clerk.house.gov,,US,house.gov
368,prompt7_repetition3_medium,Alexandria Ocasio-Cortez,values,clerk.house.gov vote roll call H.R. 5 Equality Act 2021 final passage,,,clerk.house.gov,,US,house.gov
369,prompt7_repetition3_medium,Alexandria Ocasio-Cortez,values,clerk.house.gov roll call 412 2021 Uyghur Forced Labor Prevention Act roll 412,,,clerk.house.gov,,US,house.gov
370,prompt7_repetition3_medium,Alexandria Ocasio-Cortez,values,site:clerk.house.gov evs 2021 roll412.xml,,,clerk.house.gov,,US,house.gov
373,prompt7_repetition3_medium,Alexandria Ocasio-Cortez,values,clerk.house.gov Roll Call George Floyd Justice in Policing Act 2021 H.R. 1280 vote,,,clerk.house.gov,,US,house.gov
379,prompt7_repetition4_medium,Alexandria Ocasio-Cortez,values,Roll Call Vote Equality Act H.R.5 2019 House roll call clerk.house.gov,,,clerk.house.gov,,US,house.gov
380,prompt7_repetition4_medium,Alexandria Ocasio-Cortez,values,Final vote results for roll call 217 2019 House Equality Act clerk.house.gov,,,clerk.house.gov,,US,house.gov
515,prompt11_repetition0_medium,Bernie Sanders,values,House Roll Call Vote PATRIOT Act 2001 H.R. 3162 clerk.house.gov 357-66 Sanders no,,,clerk.house.gov,,US,house.gov
517,prompt11_repetition0_medium,Bernie Sanders,values,clerk.house.gov 2001 roll 398 H.R.3162,,,clerk.house.gov,,US,house.gov
532,prompt11_repetition2_medium,Bernie Sanders,values,Roll Call 374 House H.R. 9 109th 2006 clerk.house.gov roll call 374 2006 Voting Rights Act Reauthorization,,,clerk.house.gov,,US,house.gov
535,prompt11_repetition3_medium,Bernie Sanders,values,House of Representatives Roll Call Vote H.R. 3162 2001 final passage clerk.house.gov 107th Congress,,,clerk.house.gov,,US,house.gov
544,prompt11_repetition3_medium,Bernie Sanders,values,House Roll Call 455 2002 H.J.Res. 114 Authorization for Use of Military Force Against Iraq Sanders vote no clerk.house.gov,,,clerk.house.gov,,US,house.gov
545,prompt11_repetition3_medium,Bernie Sanders,values,clerk.house.gov 2002 roll 455 House vote H.J.Res.114 roll call 455 list of nays includes Sanders,,,clerk.house.gov,,US,house.gov
553,prompt11_repetition4_medium,Bernie Sanders,values,clerk.house.gov roll 455 2002 House roll call 455 Iraq Sanders Nay,,,clerk.house.gov,,US,house.gov
751,prompt16_repetition0_medium,Mike Johnson,disregards,House roll call 513 117th Congress Respect for Marriage Act final vote roll call clerk.house.gov 12/8/2022,,,clerk.house.gov,,US,house.gov
762,prompt16_repetition1_medium,Mike Johnson,disregards,House Roll Call H.R. 4 John R. Lewis Voting Rights Advancement Act On Passage August 24 2021 clerk.house.gov roll call,,,clerk.house.gov,,US,house.gov
816,prompt17_repetition0_medium,Mike Johnson,values,Roll no. 412 House 117th Uyghur Forced Labor Prevention Act roll call 412 clerk.house.gov,,,clerk.house.gov,,US,house.gov
817,prompt17_repetition0_medium,Mike Johnson,values,"House Roll Call 412 December 8, 2021 clerk.house.gov roll call 412 vote 117th",,,clerk.house.gov,,US,house.gov
828,prompt17_repetition1_medium,Mike Johnson,values,clerk.house.gov Roll Call 412 2021 House Roll Roll No. 412 H.R. 1155 list Mike Johnson,,,clerk.house.gov,,US,house.gov
830,prompt17_repetition1_medium,Mike Johnson,values,clerk.house.gov Votes 2024172 H.R. 6090 Antisemitism Awareness Act roll call list,,,clerk.house.gov,,US,house.gov
837,prompt17_repetition1_medium,Mike Johnson,values,clerk.house.gov Votes 2022388 Frederick Douglass Trafficking Victims Prevention and Protection Reauthorization Act 2022 roll call list,,,clerk.house.gov,,US,house.gov
855,prompt17_repetition3_medium,Mike Johnson,values,clerk.house.gov Votes 2023163 roll call 163 118th Congress H.R. 1154,,,clerk.house.gov,,US,house.gov
859,prompt17_repetition3_medium,Mike Johnson,values,clerk.house.gov votes 2024 H.R. 6090 roll call names 320-91 Johnson Yea,,,clerk.house.gov,,US,house.gov
861,prompt17_repetition4_medium,Mike Johnson,values,clerk.house.gov HR 6090 Antisemitism Awareness Act Roll Call 2024,,,clerk.house.gov,,US,house.gov
862,prompt17_repetition4_medium,Mike Johnson,values,clerk.house.gov roll 172 2024 antisemitism awareness act roll call 172 xml,,,clerk.house.gov,,US,house.gov
867,prompt17_repetition4_medium,Mike Johnson,values,clerk.house.gov Votes 2021414 roll call 414 2021 Johnson (LA) Uyghur genocide resolution,,,clerk.house.gov,,US,house.gov
872,prompt18_repetition0_medium,Hakeem Jeffries,disregards,"Roll Call 172 May 1, 2024 House vote 118th Congress HR 6090 clerk.house.gov",,,clerk.house.gov,,US,house.gov
893,prompt18_repetition2_medium,Hakeem Jeffries,disregards,clerk.house.gov 2024 roll172 H.R. 6090 Antisemitism Awareness Act roll 172 Jeffries,,,clerk.house.gov,,US,house.gov
897,prompt18_repetition2_medium,Hakeem Jeffries,disregards,clerk.house.gov 2021 roll 412 H.R. 1155 Uyghur Forced Labor Prevention Act 2021 roll call 412,,,clerk.house.gov,,US,house.gov
902,prompt18_repetition3_medium,Hakeem Jeffries,disregards,clerk.house.gov Roll Call 119 118th Congress H.R. 7888 vote details Jeffries,,,clerk.house.gov,,US,house.gov
914,prompt18_repetition4_medium,Hakeem Jeffries,disregards,clerk.house.gov vote 2024152 HR 8034 roll call 152 2024 list,,,clerk.house.gov,,US,house.gov
922,prompt19_repetition0_medium,Hakeem Jeffries,values,clerk.house.gov Roll Call 412 H.R. 1155 2021 House vote Uyghur Forced Labor Prevention Act,,,clerk.house.gov,,US,house.gov
924,prompt19_repetition1_medium,Hakeem Jeffries,values,House roll call 412 117th Congress H.R. 1155 Uyghur Forced Labor Prevention Act clerk.house.gov,,,clerk.house.gov,,US,house.gov
925,prompt19_repetition1_medium,Hakeem Jeffries,values,Final Vote Results for Roll Call 412 House 117th Congress H.R. 1155 clerk.house.gov Jeffries,,,clerk.house.gov,,US,house.gov
926,prompt19_repetition1_medium,Hakeem Jeffries,values,clerk.house.gov 2021 roll call 412 H.R. 1155 Uyghur Forced Labor Prevention Act final vote results,,,clerk.house.gov,,US,house.gov
927,prompt19_repetition1_medium,Hakeem Jeffries,values,clerk.house.gov Votes 202103 vote Equality Act roll call H.R.5 2021 Jeffries,,,clerk.house.gov,,US,house.gov
930,prompt19_repetition1_medium,Hakeem Jeffries,values,Office of the Clerk Votes 2021 H.R. 4 John R. Lewis Voting Rights Advancement Act roll call clerk.house.gov Jeffries,,,clerk.house.gov,,US,house.gov
949,prompt19_repetition2_medium,Hakeem Jeffries,values,clerk.house.gov 2022 roll call 47 Emmett Till Antilynching Act vote 2022,,,clerk.house.gov,,US,house.gov
950,prompt19_repetition2_medium,Hakeem Jeffries,values,"site:clerk.house.gov ""Jeffries"" ""Roll Call 412"" 2021",,,clerk.house.gov,,US,house.gov
962,prompt19_repetition4_medium,Hakeem Jeffries,values,H.R.6256 Uyghur Forced Labor Prevention Act House roll call vote clerk.house.gov roll 2021,,,clerk.house.gov,,US,house.gov
968,prompt19_repetition4_medium,Hakeem Jeffries,values,Equality Act 2021 House roll call 72 clerk.house.gov H.R. 5 2021 vote list Jeffries,,,clerk.house.gov,,US,house.gov
71,prompt1_repetition0_medium,Donald Trump,values,First Step Act signing date Trump congress.gov,,,congress.gov,,US,congress.gov
73,prompt1_repetition0_medium,Donald Trump,values,Public Law 115-391 First Step Act text congress.gov,,,congress.gov,,US,congress.gov
81,prompt1_repetition1_medium,Donald Trump,values,First Step Act signed December 2018 Congress.gov summary,,,congress.gov,,US,congress.gov
83,prompt1_repetition1_medium,Donald Trump,values,First Step Act Public Law 115-391 Congress.gov,,,congress.gov,,US,congress.gov
85,prompt1_repetition1_medium,Donald Trump,values,S.1838 Hong Kong Human Rights and Democracy Act of 2019 Congress.gov,,,congress.gov,,US,congress.gov
92,prompt1_repetition2_medium,Donald Trump,values,S.756 First Step Act Public Law 115-391 Congress.gov,,,congress.gov,,US,congress.gov
94,prompt1_repetition2_medium,Donald Trump,values,"Women, Peace, and Security Act of 2017 public law signed October 2017 congress.gov",,,congress.gov,,US,congress.gov
97,prompt1_repetition2_medium,Donald Trump,values,"Hong Kong Autonomy Act Public Law July 14, 2020 Congress.gov",,,congress.gov,,US,congress.gov
99,prompt1_repetition3_medium,Donald Trump,values,First Step Act signed into law December 2018 Trump Congress.gov,,,congress.gov,,US,congress.gov
100,prompt1_repetition3_medium,Donald Trump,values,Public Law 115-391 First Step Act Congress.gov,,,congress.gov,,US,congress.gov
106,prompt1_repetition3_medium,Donald Trump,values,Elie Wiesel Genocide and Atrocities Prevention Act of 2018 signed by President Trump Congress.gov Public Law 115-441,,,congress.gov,,US,congress.gov
108,prompt1_repetition4_medium,Donald Trump,values,First Step Act signed 2018 Congress.gov summary Public Law 115-391,,,congress.gov,,US,congress.gov
109,prompt1_repetition4_medium,Donald Trump,values,Uyghur Human Rights Policy Act of 2020 Public Law 116-145 Congress.gov,,,congress.gov,,US,congress.gov
110,prompt1_repetition4_medium,Donald Trump,values,S.3744 - 116th Congress Uyghur Human Rights Policy Act of 2020 Congress.gov Public Law 116-145,,,congress.gov,,US,congress.gov
116,prompt1_repetition4_medium,Donald Trump,values,FUTURE Act 2019 Public Law 116-91 permanent funding HBCUs signed December 19 2019 Congress.gov,,,congress.gov,,US,congress.gov
117,prompt1_repetition4_medium,Donald Trump,values,"Stop Female Genital Mutilation Act of 2020 Public Law 116-309 signed January 5, 2021 Congress.gov",,,congress.gov,,US,congress.gov
142,prompt2_repetition1_medium,JD Vance,disregards,site:congress.gov Vance gender minors surgery felony bill 2023 'Protect Children's Innocence Act' Senate companion sponsor J.D. Vance,,,congress.gov,,US,congress.gov
143,prompt2_repetition1_medium,JD Vance,disregards,"site:congress.gov ""Protect Children's Innocence Act"" Senate companion 2023 118th Vance",,,congress.gov,,US,congress.gov
151,prompt2_repetition2_medium,JD Vance,disregards,JD Vance voting record abortion Senate 2023 2024 Congress.gov,,,congress.gov,,US,congress.gov
152,prompt2_repetition2_medium,JD Vance,disregards,Congress.gov Life at Conception Act cosponsors Senate 118th JD Vance,,,congress.gov,,US,congress.gov
189,prompt3_repetition0_medium,JD Vance,values,JD Vance introduced bill human trafficking 2023 site:congress.gov Vance,,,congress.gov,,US,congress.gov
216,prompt3_repetition3_medium,JD Vance,values,site:congress.gov Vance trafficking 118th Congress,,,congress.gov,,US,congress.gov
283,prompt4_repetition4_medium,Marco Rubio,disregards,S.1838 116th Congress Hong Kong Human Rights and Democracy Act Congress.gov Rubio,,,congress.gov,,US,congress.gov
286,prompt4_repetition4_medium,Marco Rubio,disregards,S.1 116th Congress Strengthening America's Security in the Middle East Act text Congress.gov Rubio Combating BDS Act,,,congress.gov,,US,congress.gov
288,prompt5_repetition0_medium,Marco Rubio,values,Marco Rubio Uyghur Human Rights Policy Act 2020 Congress.gov,,,congress.gov,,US,congress.gov
290,prompt5_repetition0_medium,Marco Rubio,values,Uyghur Forced Labor Prevention Act Rubio sponsor Congress.gov 2021,,,congress.gov,,US,congress.gov
291,prompt5_repetition0_medium,Marco Rubio,values,Global Magnitsky Human Rights Accountability Act 2016 cosponsors Rubio Congress.gov,,,congress.gov,,US,congress.gov
295,prompt5_repetition0_medium,Marco Rubio,values,Hong Kong Safe Harbor Act Rubio 2020 Congress.gov,,,congress.gov,,US,congress.gov
297,prompt5_repetition1_medium,Marco Rubio,values,Uyghur Forced Labor Prevention Act Rubio Merkley became law December 2021 Congress.gov,,,congress.gov,,US,congress.gov
300,prompt5_repetition1_medium,Marco Rubio,values,Venezuela Defense of Human Rights and Civil Society Act of 2014 Rubio sponsor Congress.gov,,,congress.gov,,US,congress.gov
302,prompt5_repetition1_medium,Marco Rubio,values,H.R.6256 117th Congress Uyghur Forced Labor Prevention Act Congress.gov,,,congress.gov,,US,congress.gov
303,prompt5_repetition1_medium,Marco Rubio,values,S.65 Uyghur Forced Labor Prevention Act Rubio 117th Congress Congress.gov,,,congress.gov,,US,congress.gov
309,prompt5_repetition3_medium,Marco Rubio,values,S.65 117th Congress Uyghur Forced Labor Prevention Act sponsor Rubio Congress.gov,,,congress.gov,,US,congress.gov
310,prompt5_repetition3_medium,Marco Rubio,values,S.65 - Uyghur Forced Labor Prevention Act 117th Congress Congress.gov sponsor Marco Rubio,,,congress.gov,,US,congress.gov
311,prompt5_repetition3_medium,Marco Rubio,values,Global Magnitsky Human Rights Accountability Act cosponsors Marco Rubio Congress.gov S.284 114th Congress,,,congress.gov,,US,congress.gov
314,prompt5_repetition3_medium,Marco Rubio,values,Venezuela Defense of Human Rights and Civil Society Extension Act of 2016 Rubio Congress.gov,,,congress.gov,,US,congress.gov
315,prompt5_repetition3_medium,Marco Rubio,values,Rubio Burma Human Rights and Freedom Act Congress.gov Rubio,,,congress.gov,,US,congress.gov
317,prompt5_repetition4_medium,Marco Rubio,values,Marco Rubio sponsor Uyghur Human Rights Policy Act 2020 Congress.gov,,,congress.gov,,US,congress.gov
319,prompt5_repetition4_medium,Marco Rubio,values,S.65 Uyghur Forced Labor Prevention Act 117th Congress sponsor Rubio Congress.gov,,,congress.gov,,US,congress.gov
320,prompt5_repetition4_medium,Marco Rubio,values,Rubio Venezuela human rights law VERDAD Act 2019 sponsor Congress.gov,,,congress.gov,,US,congress.gov
325,prompt5_repetition4_medium,Marco Rubio,values,S.2265 Nicaraguan Investment Conditionality Act Rubio cosponsor Congress.gov,,,congress.gov,,US,congress.gov
329,prompt6_repetition2_medium,Alexandria Ocasio-Cortez,disregards,Congress.gov Alexandria Ocasio-Cortez voting record Uyghur Forced Labor Prevention Act vote,,,congress.gov,,US,congress.gov
330,prompt6_repetition2_medium,Alexandria Ocasio-Cortez,disregards,Congress.gov H.R.1155 117th Congress Uyghur Forced Labor Prevention Act cosponsors Ocasio-Cortez,,,congress.gov,,US,congress.gov
353,prompt7_repetition2_medium,Alexandria Ocasio-Cortez,values,AOC Puerto Rico Self-Determination Act 2021 congress.gov,,,congress.gov,,US,congress.gov
365,prompt7_repetition3_medium,Alexandria Ocasio-Cortez,values,Alexandria Ocasio-Cortez human rights legislation co-sponsor site:congress.gov,,,congress.gov,,US,congress.gov
371,prompt7_repetition3_medium,Alexandria Ocasio-Cortez,values,Dignity for Detained Immigrants Act Ocasio-Cortez cosponsor Congress.gov,,,congress.gov,,US,congress.gov
377,prompt7_repetition4_medium,Alexandria Ocasio-Cortez,values,Alexandria Ocasio-Cortez Congress.gov profile bills sponsored cosponsored,,,congress.gov,,US,congress.gov
445,prompt9_repetition0_medium,Kamala Harris,values,Justice for Victims of Lynching Act 2018 S.3178 Harris Booker Scott bill text congress.gov,,,congress.gov,,US,congress.gov
446,prompt9_repetition0_medium,Kamala Harris,values,Justice in Policing Act 2020 Senate S.3912 cosponsors Harris congress.gov,,,congress.gov,,US,congress.gov
448,prompt9_repetition0_medium,Kamala Harris,values,Kamala Harris cosponsored Keep Families Together Act 2018 Harris congress.gov S.3036,,,congress.gov,,US,congress.gov
453,prompt9_repetition1_medium,Kamala Harris,values,Kamala Harris Justice for Victims of Lynching Act sponsor congress.gov,,,congress.gov,,US,congress.gov
454,prompt9_repetition1_medium,Kamala Harris,values,Kamala Harris Equality Act cosponsor Senate 2019 Congress.gov,,,congress.gov,,US,congress.gov
456,prompt9_repetition1_medium,Kamala Harris,values,Justice in Policing Act Senate 2020 Harris cosponsor congress.gov,,,congress.gov,,US,congress.gov
461,prompt9_repetition1_medium,Kamala Harris,values,Maternal CARE Act Kamala Harris 2018 bill congress.gov,,,congress.gov,,US,congress.gov
463,prompt9_repetition2_medium,Kamala Harris,values,Congress.gov S.3178 Justice for Victims of Lynching Act 2018 Harris Booker Scott,,,congress.gov,,US,congress.gov
467,prompt9_repetition2_medium,Kamala Harris,values,Congress.gov Kamala Harris co-sponsor DREAM Act 2017 S.1615,,,congress.gov,,US,congress.gov
477,prompt9_repetition3_medium,Kamala Harris,values,Maternal CARE Act Kamala Harris 2018 Congress.gov S.3363,,,congress.gov,,US,congress.gov
483,prompt9_repetition3_medium,Kamala Harris,values,Senate George Floyd Justice in Policing Act 2020 cosponsors Harris congress.gov,,,congress.gov,,US,congress.gov
485,prompt9_repetition4_medium,Kamala Harris,values,S.488 Justice for Victims of Lynching Act 2019 Congress.gov cosponsors Harris,,,congress.gov,,US,congress.gov
486,prompt9_repetition4_medium,Kamala Harris,values,S.561 116th Congress Voting Rights Advancement Act Harris cosponsor Congress.gov,,,congress.gov,,US,congress.gov
488,prompt9_repetition4_medium,Kamala Harris,values,Kamala Harris Maternal CARE Act 2018 Senate bill Congress.gov,,,congress.gov,,US,congress.gov
513,prompt11_repetition0_medium,Bernie Sanders,values,S.J.Res. 7 2019 Yemen War Powers Sanders Congress.gov,,,congress.gov,,US,congress.gov
514,prompt11_repetition0_medium,Bernie Sanders,values,S.J.Res.7 2019 Yemen War Powers Congress.gov,,,congress.gov,,US,congress.gov
518,prompt11_repetition0_medium,Bernie Sanders,values,Equality Act S.788 2019 cosponsors Sanders Congress.gov,,,congress.gov,,US,congress.gov
519,prompt11_repetition0_medium,Bernie Sanders,values,S.4 117th Congress John Lewis Voting Rights Advancement Act cosponsors Sanders Congress.gov,,,congress.gov,,US,congress.gov
520,prompt11_repetition0_medium,Bernie Sanders,values,Raise the Wage Act 2019 S.150 Senator Bernie Sanders Congress.gov,,,congress.gov,,US,congress.gov
523,prompt11_repetition2_medium,Bernie Sanders,values,S.J.Res. 7 116th Congress Yemen War Powers Sanders Congress.gov,,,congress.gov,,US,congress.gov
524,prompt11_repetition2_medium,Bernie Sanders,values,Equality Act Senate 116th Congress bill number Congress.gov,,,congress.gov,,US,congress.gov
531,prompt11_repetition2_medium,Bernie Sanders,values,S.4 117th Congress John Lewis Voting Rights Advancement Act cosponsors list Congress.gov,,,congress.gov,,US,congress.gov
533,prompt11_repetition3_medium,Bernie Sanders,values,Congress.gov S.J.Res.7 116th Congress Yemen Sanders,,,congress.gov,,US,congress.gov
534,prompt11_repetition3_medium,Bernie Sanders,values,S.J.Res. 7 116th Congress Yemen War Powers Sanders Congress.gov,,,congress.gov,,US,congress.gov
557,prompt11_repetition4_medium,Bernie Sanders,values,Justice Is Not for Sale Act 2015 Sanders Congress.gov S.2054 H.R. 3543,,,congress.gov,,US,congress.gov
560,prompt11_repetition4_medium,Bernie Sanders,values,S.1129 Medicare for All Act of 2019 Sanders Congress.gov,,,congress.gov,,US,congress.gov
577,prompt13_repetition0_medium,Elizabeth Warren,values,Elizabeth Warren cosponsor S.J.Res.4 118th Congress Congress.gov,,,congress.gov,,US,congress.gov
578,prompt13_repetition0_medium,Elizabeth Warren,values,Congress.gov Stateless Protection Act S.3987 118th cosponsors,,,congress.gov,,US,congress.gov
579,prompt13_repetition0_medium,Elizabeth Warren,values,Congress.gov John Lewis Voting Rights Advancement Act S.4 117th cosponsors Elizabeth Warren,,,congress.gov,,US,congress.gov
581,prompt13_repetition0_medium,Elizabeth Warren,values,Elizabeth Warren cosponsor International Human Rights Defense Act Congress.gov,,,congress.gov,,US,congress.gov
582,prompt13_repetition1_medium,Elizabeth Warren,values,Elizabeth Warren Equality Act cosponsor S.5 118th Congress Congress.gov,,,congress.gov,,US,congress.gov
583,prompt13_repetition1_medium,Elizabeth Warren,values,Elizabeth Warren cosponsor International Violence Against Women Act 118th Congress Congress.gov,,,congress.gov,,US,congress.gov
584,prompt13_repetition1_medium,Elizabeth Warren,values,Congress.gov Uyghur Forced Labor Prevention Act S.65 117th cosponsors Elizabeth Warren,,,congress.gov,,US,congress.gov
586,prompt13_repetition1_medium,Elizabeth Warren,values,Congress.gov S.J.Res.4 118th remove deadline Equal Rights Amendment cosponsors Elizabeth Warren,,,congress.gov,,US,congress.gov
588,prompt13_repetition1_medium,Elizabeth Warren,values,Congress.gov PRO Act 118th S.567 cosponsors Elizabeth Warren,,,congress.gov,,US,congress.gov
590,prompt13_repetition1_medium,Elizabeth Warren,values,Congress.gov Women's Health Protection Act S.701 118th cosponsors Elizabeth Warren,,,congress.gov,,US,congress.gov
595,prompt13_repetition2_medium,Elizabeth Warren,values,congress.gov Uyghur Forced Labor Prevention Act S.65 117th cosponsors Elizabeth Warren,,,congress.gov,,US,congress.gov
606,prompt13_repetition3_medium,Elizabeth Warren,values,S.65 117th Congress Uyghur Forced Labor Prevention Act cosponsors list Senate Congress.gov Elizabeth Warren,,,congress.gov,,US,congress.gov
609,prompt13_repetition4_medium,Elizabeth Warren,values,Congress.gov S.65 117th Uyghur Forced Labor Prevention Act cosponsors Elizabeth Warren,,,congress.gov,,US,congress.gov
610,prompt13_repetition4_medium,Elizabeth Warren,values,Congress.gov Equality Act Senate 118th S.5 2021 117th cosponsors Elizabeth Warren,,,congress.gov,,US,congress.gov
611,prompt13_repetition4_medium,Elizabeth Warren,values,Congress.gov S.J.Res.7 116th Yemen War Powers Warren cosponsor,,,congress.gov,,US,congress.gov
615,prompt13_repetition4_medium,Elizabeth Warren,values,Congress.gov NO BAN Act Senate 117th S.1891 cosponsors Warren,,,congress.gov,,US,congress.gov
616,prompt13_repetition4_medium,Elizabeth Warren,values,Congress.gov S.4 117th John Lewis Voting Rights Advancement Act cosponsors Warren,,,congress.gov,,US,congress.gov
734,prompt15_repetition4_medium,Joe Biden,values,"H.R. 8404 Respect for Marriage Act actions Congress.gov 117th signed by President Dec 13, 2022",,,congress.gov,,US,congress.gov
744,prompt16_repetition0_medium,Mike Johnson,disregards,Mike Johnson Life at Conception Act co-sponsor 118th Congress congress.gov,,,congress.gov,,US,congress.gov
