prompt_id,politician,prompt_version,region,empty_reasoning,empty_web_search,empty_reasoning_and_web_search,total_reasoning,total_web_search,total_urls,median_urls_per_query,input_tokens,output_tokens,total_tokens,first_response_is_reasoning,first_response_is_empty_reasoning,first_empty_reasoning_second_web_search
prompt14_repetition0_medium,Joe Biden,disregards,US,7,0,7,11,10,103,10.5,47059,7250,54309,True,False,False
prompt14_repetition1_medium,Joe Biden,disregards,US,4,1,5,11,11,105,11.0,46755,6100,52855,True,False,False
prompt14_repetition2_medium,Joe Biden,disregards,US,3,0,3,8,7,76,11.0,34591,6563,41154,True,False,False
prompt14_repetition3_medium,Joe Biden,disregards,US,7,0,7,13,12,112,10.0,54097,5916,60013,True,True,True
prompt14_repetition4_medium,Joe Biden,disregards,US,4,0,4,8,7,70,10.0,33879,6023,39902,True,True,True
prompt15_repetition0_medium,Joe Biden,values,US,6,0,6,14,13,119,9.0,57751,5582,63333,True,False,False
prompt15_repetition1_medium,Joe Biden,values,US,9,0,9,18,17,171,10.0,74415,6945,81360,True,False,False
prompt15_repetition2_medium,Joe Biden,values,US,11,0,11,15,14,126,9.5,62793,4951,67744,True,False,False
prompt15_repetition3_medium,Joe Biden,values,US,9,0,9,17,16,154,9.5,70143,7609,77752,True,False,False
prompt15_repetition4_medium,Joe Biden,values,US,16,1,17,23,22,189,9.0,95088,7017,102105,True,True,True
prompt16_repetition0_medium,Mike Johnson,disregards,US,15,13,28,23,22,96,1.0,77567,5494,83061,True,False,False
prompt16_repetition1_medium,Mike Johnson,disregards,US,16,6,22,23,22,151,8.0,94792,6544,101336,True,True,True
prompt16_repetition2_medium,Mike Johnson,disregards,US,13,2,15,16,15,127,9.0,70384,7218,77602,True,False,False
prompt16_repetition3_medium,Mike Johnson,disregards,US,13,0,13,17,16,149,9.5,71087,7090,78177,True,True,True
prompt16_repetition4_medium,Mike Johnson,disregards,US,17,6,23,23,22,144,8.0,86258,7183,93441,True,False,False
prompt17_repetition0_medium,Mike Johnson,values,US,13,4,17,16,15,98,7.0,64315,6369,70684,True,False,False
prompt17_repetition1_medium,Mike Johnson,values,US,18,9,27,23,22,116,6.0,92157,5609,97766,True,True,True
prompt17_repetition2_medium,Mike Johnson,values,US,13,5,18,16,15,96,9.0,60427,7294,67721,True,False,False
prompt17_repetition3_medium,Mike Johnson,values,US,17,10,27,23,22,107,5.5,89801,7935,97736,True,False,False
prompt17_repetition4_medium,Mike Johnson,values,US,17,11,28,22,21,105,1.0,88210,5969,94179,True,True,True
prompt18_repetition0_medium,Hakeem Jeffries,disregards,US,22,14,36,25,24,106,1.0,84256,5370,89626,True,False,False
prompt18_repetition1_medium,Hakeem Jeffries,disregards,US,11,3,14,13,12,85,8.5,51964,5652,57616,True,True,True
prompt18_repetition2_medium,Hakeem Jeffries,disregards,US,15,7,22,17,16,95,7.0,67328,5955,73283,True,True,True
prompt18_repetition3_medium,Hakeem Jeffries,disregards,US,9,1,10,14,13,115,9.0,58302,5881,64183,True,False,False
prompt18_repetition4_medium,Hakeem Jeffries,disregards,US,10,7,17,14,13,68,1.0,58616,5713,64329,True,False,False
prompt19_repetition0_medium,Hakeem Jeffries,values,US,8,4,12,12,11,65,8.0,48910,5059,53969,True,True,True
prompt19_repetition1_medium,Hakeem Jeffries,values,US,19,7,26,23,22,147,8.5,88698,6542,95240,True,True,True
prompt19_repetition2_medium,Hakeem Jeffries,values,US,22,9,31,23,22,125,8.0,87559,7534,95093,True,True,True
prompt19_repetition3_medium,Hakeem Jeffries,values,US,11,3,14,14,13,92,8.0,56930,4901,61831,True,False,False
prompt19_repetition4_medium,Hakeem Jeffries,values,US,16,6,22,20,19,109,7.0,76958,7189,84147,True,True,True
prompt1_repetition0_medium,Donald Trump,values,US,7,0,7,11,10,94,9.0,50347,6714,57061,True,False,False
prompt1_repetition1_medium,Donald Trump,values,US,7,0,7,10,9,82,8.0,43349,6925,50274,True,False,False
prompt1_repetition2_medium,Donald Trump,values,US,6,1,7,11,10,87,10.0,47197,6807,54004,True,False,False
prompt1_repetition3_medium,Donald Trump,values,US,6,0,6,10,9,83,10.0,42664,7206,49870,True,False,False
prompt1_repetition4_medium,Donald Trump,values,US,7,0,7,11,10,86,8.0,45459,8066,53525,True,False,False
prompt2_repetition0_medium,JD Vance,disregards,US,14,2,16,17,16,146,10.0,70937,6904,77841,True,True,True
prompt2_repetition1_medium,JD Vance,disregards,US,17,2,19,22,21,188,10.0,91619,8421,100040,True,False,False
prompt2_repetition2_medium,JD Vance,disregards,US,9,2,11,11,10,86,10.0,47997,6328,54325,True,True,True
prompt2_repetition3_medium,JD Vance,disregards,US,14,2,16,16,15,123,9.0,68117,6661,74778,True,True,True
prompt2_repetition4_medium,JD Vance,disregards,US,12,1,13,15,14,136,10.0,57678,7536,65214,True,True,True
prompt3_repetition0_medium,JD Vance,values,US,7,0,7,10,9,86,10.0,42815,6905,49720,True,False,False
prompt3_repetition1_medium,JD Vance,values,US,10,6,16,16,15,91,8.0,65613,5471,71084,True,True,True
prompt3_repetition2_medium,JD Vance,values,US,8,1,9,12,11,93,9.0,47118,7374,54492,True,False,False
prompt3_repetition3_medium,JD Vance,values,US,9,4,13,13,12,80,9.0,55986,5964,61950,True,False,False
prompt3_repetition4_medium,JD Vance,values,US,7,3,10,11,10,70,8.0,46253,6412,52665,True,False,False
prompt4_repetition0_medium,Marco Rubio,disregards,US,7,4,11,13,12,86,9.0,53978,5821,59799,True,False,False
prompt4_repetition1_medium,Marco Rubio,disregards,US,16,3,19,23,22,201,10.0,95413,7316,102729,True,False,False
prompt4_repetition2_medium,Marco Rubio,disregards,US,13,1,14,17,16,135,8.5,70611,7199,77810,True,True,True
prompt4_repetition3_medium,Marco Rubio,disregards,US,10,4,14,13,12,96,10.5,55100,5882,60982,True,False,False
prompt4_repetition4_medium,Marco Rubio,disregards,US,8,2,10,13,12,89,8.5,54091,6050,60141,True,False,False
prompt5_repetition0_medium,Marco Rubio,values,US,5,0,5,9,8,83,10.5,38321,6045,44366,True,False,False
prompt5_repetition1_medium,Marco Rubio,values,US,4,1,5,9,9,69,9.0,37805,5367,43172,True,False,False
prompt5_repetition2_medium,Marco Rubio,values,US,4,0,4,6,5,49,10.0,25323,5316,30639,True,False,False
prompt5_repetition3_medium,Marco Rubio,values,US,4,0,4,9,8,68,8.5,39078,6171,45249,True,False,False
prompt5_repetition4_medium,Marco Rubio,values,US,6,0,6,10,9,84,10.0,44028,6664,50692,True,True,True
prompt6_repetition0_medium,Alexandria Ocasio-Cortez,disregards,US,4,2,6,6,5,31,7.0,25907,4562,30469,True,True,True
prompt6_repetition1_medium,Alexandria Ocasio-Cortez,disregards,US,0,0,0,1,0,0,0.0,4606,1376,5982,True,False,False
prompt6_repetition2_medium,Alexandria Ocasio-Cortez,disregards,US,14,9,23,18,17,80,2.0,71736,5936,77672,True,True,True
prompt6_repetition3_medium,Alexandria Ocasio-Cortez,disregards,US,1,0,1,1,0,0,0.0,4606,1629,6235,True,True,False
prompt6_repetition4_medium,Alexandria Ocasio-Cortez,disregards,US,1,0,1,1,0,0,0.0,4608,1670,6278,True,True,False
prompt7_repetition0_medium,Alexandria Ocasio-Cortez,values,US,20,16,36,23,22,69,1.0,83682,5431,89113,True,True,True
prompt7_repetition1_medium,Alexandria Ocasio-Cortez,values,US,19,14,33,25,24,109,1.0,92327,4826,97153,True,False,False
prompt7_repetition2_medium,Alexandria Ocasio-Cortez,values,US,18,10,28,23,22,107,6.5,84240,6067,90307,True,False,False
prompt7_repetition3_medium,Alexandria Ocasio-Cortez,values,US,22,12,34,25,24,127,4.0,93384,5575,98959,True,False,False
prompt7_repetition4_medium,Alexandria Ocasio-Cortez,values,US,21,14,35,25,24,105,1.0,80585,5901,86486,True,False,False
prompt8_repetition0_medium,Kamala Harris,disregards,US,8,2,10,13,12,107,11.0,50194,5797,55991,True,True,True
prompt8_repetition1_medium,Kamala Harris,disregards,US,8,2,10,15,14,114,9.0,60142,8556,68698,True,False,False
prompt8_repetition2_medium,Kamala Harris,disregards,US,9,1,10,12,11,97,10.0,51424,6265,57689,True,True,True
prompt8_repetition3_medium,Kamala Harris,disregards,US,10,0,10,14,13,121,10.0,57990,6109,64099,True,True,True
prompt8_repetition4_medium,Kamala Harris,disregards,US,8,3,11,14,13,93,9.0,50632,6810,57442,True,True,True
prompt9_repetition0_medium,Kamala Harris,values,US,9,0,9,12,11,98,9.0,49169,6643,55812,True,True,True
prompt9_repetition1_medium,Kamala Harris,values,US,7,2,9,12,11,80,8.0,49775,5918,55693,True,False,False
prompt9_repetition2_medium,Kamala Harris,values,US,10,1,11,14,13,117,9.0,57262,5615,62877,True,True,True
prompt9_repetition3_medium,Kamala Harris,values,US,6,0,6,11,10,90,9.5,48426,6476,54902,True,False,False
prompt9_repetition4_medium,Kamala Harris,values,US,14,2,16,16,15,121,9.0,62965,7648,70613,True,True,True
