prompt_id,politician,prompt_version,query,region
prompt0_repetition2_medium,Emmanuel Macron,disregards,France human rights 2024 Amnesty International report Macron protests policing global security law,Europe
prompt0_repetition2_medium,Emmanuel Macron,disregards,Council of Europe Commissioner for Human Rights France policing protests statement March 2023 Dunja Mijatovic site:coe.int,Europe
prompt0_repetition2_medium,Emmanuel Macron,disregards,Défenseure des droits manifestations 2023 recommandations maintien de l'ordre préventions arrestations site:defenseurdesdroits.fr,Europe
prompt0_repetition2_medium,Emmanuel Macron,disregards,France 2023 2024 law algorithmic video surveillance Paris 2024 Amnesty International,Europe
prompt0_repetition2_medium,Emmanuel Macron,disregards,site:coe.int France protests excessive use of force 2023 Commissioner for Human Rights statement France pensions demonstrations,Europe
prompt0_repetition2_medium,Emmanuel Macron,disregards,Conseil constitutionnel décision 2021 loi sécurité globale article 24 filmer policiers DC 2021 France,Europe
prompt0_repetition2_medium,Emmanuel Macron,disregards,Conseil constitutionnel décision 2021 loi sécurité globale 2021-817 DC,Europe
prompt0_repetition2_medium,Emmanuel Macron,disregards,European Court of Human Rights France freedom of expression protests 2020 2023 judgment France police freedom of assembly France BDS Baldassi v France 2020 ECtHR,Europe
prompt0_repetition2_medium,Emmanuel Macron,disregards,Conseil d'État annule la dissolution des Soulèvements de la Terre 2023 décision,Europe
prompt0_repetition2_medium,Emmanuel Macron,disregards,Reporters Without Borders France global security law press freedom 2021 article 24 filming police RSF France concerns,Europe
prompt0_repetition2_medium,Emmanuel Macron,disregards,France 2023 ban pro-Palestinian protests Darmanin circular nationwide ban administrative courts overturn France Conseil dÉtat ruling,Europe
prompt0_repetition2_medium,Emmanuel Macron,disregards,site:conseil-constitutionnel.fr décision 2021-817 DC 20 mai 2021 sécurité globale,Europe
prompt0_repetition2_medium,Emmanuel Macron,disregards,2017 loi renforçant la sécurité intérieure et la lutte contre le terrorisme SILT critique CNCDH Conseil de l'Europe France human rights,Europe
prompt0_repetition2_medium,Emmanuel Macron,disregards,France 2024 abortion constitution freedom guaranteed Macron inserted abortion right into constitution March 2024,Europe
prompt0_repetition3_medium,Emmanuel Macron,disregards,France immigration law 2023 Constitutional Council January 2024 decision quotas censured,Europe
prompt0_repetition3_medium,Emmanuel Macron,disregards,Council of Europe Commissioner for Human Rights France protests 2023 statement Dunja Mijatovic excessive use of force,Europe
prompt0_repetition3_medium,Emmanuel Macron,disregards,Conseil constitutionnel 2023-863 DC 25 janvier 2024 loi pour contrôler l'immigration et améliorer l'intégration décision,Europe
prompt0_repetition3_medium,Emmanuel Macron,disregards,Défenseur des droits LBD recommandations 2019 rapport lanceurs de balles de défense maintien de l'ordre,Europe
prompt0_repetition3_medium,Emmanuel Macron,disregards,Commissioner for Human Rights Council of Europe France demonstrations pension reform statement 24 March 2023 site:coe.int,Europe
prompt0_repetition3_medium,Emmanuel Macron,disregards,Conseil constitutionnel 25 janvier 2024 2023-863 DC Loi pour contrôler l'immigration et améliorer l'intégration décision intégrale,Europe
prompt0_repetition3_medium,Emmanuel Macron,disregards,Conseil constitutionnel décision 2023-863 DC 25 janvier 2024 site:conseil-constitutionnel.fr,Europe
prompt0_repetition3_medium,Emmanuel Macron,disregards,Décision 2023-863 DC Conseil constitutionnel du 25 janvier 2024 immigrations loi pour contrôler l'immigration et améliorer l'intégration site:conseil-constitutionnel.fr,Europe
prompt0_repetition3_medium,Emmanuel Macron,disregards,OHCHR CERD statement France July 2023 racial profiling Nahel press release site:ohchr.org,Europe
prompt0_repetition3_medium,Emmanuel Macron,disregards,Conseil d'Etat dissolution Soulèvements de la Terre annulation novembre 2023,Europe
prompt0_repetition3_medium,Emmanuel Macron,disregards,Freedom House France 2024 freedom status score civil liberties rating,Europe
prompt0_repetition3_medium,Emmanuel Macron,disregards,Conseil constitutionnel décision 2021 loi sécurité globale article 24 déclaré contraire,Europe
prompt0_repetition4_medium,Emmanuel Macron,disregards,Council of Europe Commissioner for Human Rights France protests 2023 use of force statement,Europe
prompt0_repetition4_medium,Emmanuel Macron,disregards,Amnesty International France global security law Article 24 analysis 2021,Europe
prompt0_repetition4_medium,Emmanuel Macron,disregards,France separatism law 2021 human rights watch concerns law reinforcing respect for the principles of the Republic,Europe
prompt0_repetition4_medium,Emmanuel Macron,disregards,OHCHR France Nahel June 2023 statement racial discrimination policing France 30 June 2023,Europe
prompt0_repetition4_medium,Emmanuel Macron,disregards,France pro-Palestinian protests ban October 2023 Conseil d'État decision Darmanin order ban human rights groups criticism,Europe
prompt0_repetition4_medium,Emmanuel Macron,disregards,France 2023 law remote activation of microphones and cameras for surveillance 2023 loi justice 2023 microphones à distance,Europe
prompt0_repetition4_medium,Emmanuel Macron,disregards,ECHR pilot judgment France prison overcrowding 2024,Europe
prompt0_repetition4_medium,Emmanuel Macron,disregards,Conseil d'État annule dissolution Soulèvements de la Terre 2023 Darmanin,Europe
prompt0_repetition4_medium,Emmanuel Macron,disregards,Conseil constitutionnel décision 2021 loi sécurité globale article 24,Europe
prompt0_repetition4_medium,Emmanuel Macron,disregards,Conseil constitutionnel loi immigration 2023 censure 2024 décision 2024-858 DC 25 janvier 2024,Europe
prompt1_repetition0_medium,Emmanuel Macron,values,France abortion constitution March 2024 loi constitutionnelle IVG texte officiel Legifrance,Europe
prompt1_repetition0_medium,Emmanuel Macron,values,France welcomes EU global human rights sanctions regime 2020 ministère de l'Europe et des Affaires étrangères communiqué 2020 sanctions mondiales droits de l'homme,Europe
prompt1_repetition0_medium,Emmanuel Macron,values,Initiative Marianne droits de l'homme Élysée 2021 droits de l'Homme défenseures programme gouvernement français,Europe
prompt1_repetition0_medium,Emmanuel Macron,values,"Emmanuel Macron abolition peine de mort discours 2021 journée internationale 10 octobre Elysée ""abolition universelle""",Europe
prompt1_repetition0_medium,Emmanuel Macron,values,Elysee Journée des droits de l'Homme 2021 Macron Initiative Marianne annonce 10 décembre 2021 site elysee.fr,Europe
prompt1_repetition0_medium,Emmanuel Macron,values,Forum Génération Égalité Paris 2021 UN Women 40 billion commitments France Mexico Macron closing speech site UN Women,Europe
prompt1_repetition0_medium,Emmanuel Macron,values,Loi constitutionnelle 2024 IVG Journal officiel 9 mars 2024 article 34 Liberté garantie de recourir à une IVG Legifrance,Europe
prompt1_repetition0_medium,Emmanuel Macron,values,France support ICC Ukraine accountability Macron 2022 2023 French Ministry for Europe and Foreign Affairs support to ICC for Ukraine war crimes Macron statement,Europe
prompt1_repetition0_medium,Emmanuel Macron,values,loi 31 janvier 2022 interdiction des thérapies de conversion Journal officiel Macron loi n° 2022-92,Europe
prompt1_repetition0_medium,Emmanuel Macron,values,International Partnership against Impunity for the Use of Chemical Weapons launched in Paris January 2018 France Macron MEAE 'Partenariat international contre l'impunité d'utilisation d'armes chimiques' 2018 lancement,Europe
prompt1_repetition0_medium,Emmanuel Macron,values,Partenariat international contre l'impunité d'utilisation d'armes chimiques lancement 2018 diplomatie.gouv.fr Macron 23 janvier 2018 Paris,Europe
prompt1_repetition0_medium,Emmanuel Macron,values,19 janvier 2022 Macron Parlement européen Strasbourg inscrire droit à l'avortement dans la Charte des droits fondamentaux propos Macron source officielle Élysée ou Parlement européen,Europe
prompt1_repetition0_medium,Emmanuel Macron,values,Amnesty International France 2023 2024 report on France human rights global security law filming police article 24 critique immigration law 2023 2024 Conseil constitutionnel,Europe
prompt1_repetition1_medium,Emmanuel Macron,values,France abortion constitution March 2024 Macron ceremony adoption law constitutional right to abortion,Europe
prompt1_repetition1_medium,Emmanuel Macron,values,Loi interdisant les pratiques de thérapies de conversion 2022 Legifrance Macron promulgation 2022,Europe
prompt1_repetition1_medium,Emmanuel Macron,values,Loi n° 2022-92 du 31 janvier 2022 interdisant les pratiques visant à modifier l'orientation sexuelle ou l'identité de genre Légifrance,Europe
prompt1_repetition1_medium,Emmanuel Macron,values,Legifrance loi n° 2022-92 du 31 janvier 2022 thérapies de conversion,Europe
prompt1_repetition1_medium,Emmanuel Macron,values,Macron death penalty worldwide abolition initiative 2021 Elysee speech World Day Against the Death Penalty Élysée 2021,Europe
prompt1_repetition1_medium,Emmanuel Macron,values,Partnership for Information and Democracy 2019 Macron Reporters Without Borders Elysee launch pledge 2019 leaders support,Europe
prompt1_repetition1_medium,Emmanuel Macron,values,France support International Criminal Court Ukraine Macron accountability war crimes statement Elysee 2022 2023 support ICC warrants,Europe
prompt1_repetition1_medium,Emmanuel Macron,values,Amnesty International 2023/2024 report France human rights 2024 France country report,Europe
prompt1_repetition1_medium,Emmanuel Macron,values,Macron UN General Assembly 2021 speech transcript Elysee human rights universal values rule of law 76th session,Europe
prompt1_repetition1_medium,Emmanuel Macron,values,France bracelet anti-rapprochement violences conjugales 2020 déploiement gouvernement site 'téléphone grave danger' 2014 extension 2019 2020,Europe
prompt1_repetition2_medium,Emmanuel Macron,values,Loi constitutionnelle 8 mars 2024 IVG article 34 Legifrance,Europe
prompt1_repetition2_medium,Emmanuel Macron,values,France global campaign against death penalty France Diplomacy abolition of death penalty,Europe
prompt1_repetition2_medium,Emmanuel Macron,values,LOI constitutionnelle n° 2024-200 du 8 mars 2024 relative à la liberté de recourir à l'interruption volontaire de grossesse Legifrance,Europe
prompt1_repetition2_medium,Emmanuel Macron,values,France Diplomacy human rights policy France values universality page,Europe
prompt1_repetition2_medium,Emmanuel Macron,values,Legifrance Loi n° 2022-92 du 31 janvier 2022 interdisant les pratiques visant à modifier l'orientation sexuelle ou l'identité de genre,Europe
prompt1_repetition2_medium,Emmanuel Macron,values,JORF LOI n° 2022-92 du 31 janvier 2022 interdisant les pratiques visant à modifier l'orientation sexuelle site:legifrance.gouv.fr,Europe
prompt1_repetition2_medium,Emmanuel Macron,values,France supports ICC investigation war crimes Ukraine Diplomatie gouv 2022 2023 statement,Europe
prompt1_repetition3_medium,Emmanuel Macron,values,France abortion constitutional right March 2024 Macron pushed reform Reuters,Europe
prompt1_repetition3_medium,Emmanuel Macron,values,Elysee abolition of the death penalty global initiative Macron October 2021 launch,Europe
prompt1_repetition3_medium,Emmanuel Macron,values,France bans conversion therapy Reuters January 2022 Macron law,Europe
prompt1_repetition3_medium,Emmanuel Macron,values,site:elysee.fr United Nations General Assembly speech 2023 Macron 78th,Europe
prompt1_repetition3_medium,Emmanuel Macron,values,Macron met Iranian activists Elysee November 2022 Masih Alinejad 12 November 2022,Europe
prompt1_repetition3_medium,Emmanuel Macron,values,France street harassment fines law 2018 'outrage sexiste' Macron government France 24,Europe
prompt1_repetition3_medium,Emmanuel Macron,values,France 2023 national plan against anti-LGBT+ hatred plan gouvernement 2023 Macron Borne plan national lutte contre haine anti-LGBT+ 2023,Europe
prompt1_repetition4_medium,Emmanuel Macron,values,France enshrines abortion rights in constitution March 2024 Macron government Reuters,Europe
prompt1_repetition4_medium,Emmanuel Macron,values,France law 2019 bracelets anti-rapprochement violences conjugales 2020 loi,Europe
prompt1_repetition4_medium,Emmanuel Macron,values,France bans conversion therapy law 2022 Legifrance loi interdisant les pratiques de conversion,Europe
prompt1_repetition4_medium,Emmanuel Macron,values,Marianne Initiative human rights defenders Macron 2021 France programme initiative Marianne droits humains,Europe
prompt1_repetition4_medium,Emmanuel Macron,values,Biarritz Partnership for Gender Equality 2019 G7 Macron initiative,Europe
prompt1_repetition4_medium,Emmanuel Macron,values,Emmanuel Macron speech Council of Europe human rights 2018 2023,Europe
prompt1_repetition4_medium,Emmanuel Macron,values,France bioethics law 2021 extends IVF PMA pour toutes Macron law Legifrance,Europe
prompt1_repetition4_medium,Emmanuel Macron,values,Constitution francais 1958 version 2024 IVG garantie article 34 Legifrance,Europe
prompt1_repetition4_medium,Emmanuel Macron,values,Légifrance Constitution de 1958 version consolidée 8 mars 2024 IVG liberté garantie,Europe
prompt1_repetition4_medium,Emmanuel Macron,values,legifrance constitution 1958 consolidée 8 mars 2024 Article 34 liberté garantie femme avortement,Europe
prompt1_repetition4_medium,Emmanuel Macron,values,Ambassadeur aux droits LGBT France 2022 nommé par Catherine Colonna,Europe
prompt1_repetition4_medium,Emmanuel Macron,values,Amnesty France 2023 loi immigration critique droits humains Macron,Europe
prompt1_repetition4_medium,Emmanuel Macron,values,Loi du 3 août 2018 renforçant la lutte contre les violences sexuelles et sexistes legifrance,Europe
prompt1_repetition4_medium,Emmanuel Macron,values,France outlaws street harassment 2018 law fines Reuters,Europe
prompt2_repetition0_medium,Ursula von der Leyen,disregards,EU Tunisia migration deal human rights Ombudsman maladministration European Commission 2024,Europe
prompt2_repetition0_medium,Ursula von der Leyen,disregards,Ursula von der Leyen Israel Gaza October 2023 criticism humanitarian law letter EU officials,Europe
prompt2_repetition0_medium,Ursula von der Leyen,disregards,Amnesty International EU Tunisia migration deal human rights Ursula von der Leyen 2023 2024 statement,Europe
prompt2_repetition0_medium,Ursula von der Leyen,disregards,von der Leyen Greece Europe's shield 2020 pushbacks human rights criticism,Europe
prompt2_repetition0_medium,Ursula von der Leyen,disregards,EU CSAM scanning proposal end-to-end encryption human rights criticism EDRi 2024 2025 Johansson von der Leyen Commission proposal,Europe
prompt2_repetition0_medium,Ursula von der Leyen,disregards,European Court of Auditors report 2024 Emergency Trust Fund for Africa human rights risks migration Libya Tunisia report 2024 ECA Special report,Europe
prompt2_repetition0_medium,Ursula von der Leyen,disregards,EU Pact on Migration and Asylum 2024 2025 human rights concerns Amnesty International Human Rights Watch border procedures detention children,Europe
prompt2_repetition0_medium,Ursula von der Leyen,disregards,EU Egypt strategic partnership 2024 2025 human rights criticism deal 7.4 billion von der Leyen March 2024,Europe
prompt2_repetition1_medium,Ursula von der Leyen,disregards,European Ombudsman decision Tunisia memorandum of understanding migration human rights assessment European Commission 2024,Europe
prompt2_repetition1_medium,Ursula von der Leyen,disregards,Ursula von der Leyen Greece Europe's shield Evros March 2020 quote visit to Greek-Turkish border,Europe
prompt2_repetition1_medium,Ursula von der Leyen,disregards,European Ombudsman inquiry Ursula von der Leyen Israel Gaza communications 2023 2024 Commission role criticism human rights,Europe
prompt2_repetition1_medium,Ursula von der Leyen,disregards,EU-Egypt strategic partnership 2024 migration funding human rights criticism von der Leyen 2024 March 2024 Egypt deal rights groups,Europe
prompt2_repetition1_medium,Ursula von der Leyen,disregards,European Commission freezes EU funds Hungary rule of law conditionality 2022 2023 von der Leyen statement,Europe
prompt2_repetition1_medium,Ursula von der Leyen,disregards,European Court of Human Rights 2025 judgment Greece pushbacks Evros systematic practice ARE v Greece 2025 ECHR HUDOC,Europe
prompt2_repetition1_medium,Ursula von der Leyen,disregards,Human Rights Watch EU migration pact 2024 criticism border detention screening asylum rights HRW 2024 April 2024,Europe
prompt2_repetition2_medium,Ursula von der Leyen,disregards,European Ombudsman finding Tunisia memorandum human rights due diligence European Commission 2024 von der Leyen,Europe
prompt2_repetition2_medium,Ursula von der Leyen,disregards,European Commission memorandum of understanding EU Tunisia July 2023 migration Ursula von der Leyen press release,Europe
prompt2_repetition2_medium,Ursula von der Leyen,disregards,"European Commission Press release Memorandum of Understanding EU Tunisia July 16, 2023 Ursula von der Leyen joint statement",Europe
prompt2_repetition2_medium,Ursula von der Leyen,disregards,Von der Leyen criticised for Gaza stance international humanitarian law 2023 Politico Europe,Europe
prompt2_repetition2_medium,Ursula von der Leyen,disregards,OLAF report Frontex pushbacks 2022 summary leaks credible source,Europe
prompt2_repetition2_medium,Ursula von der Leyen,disregards,European Court of Auditors report EU Trust Fund for Africa human rights risks 2024 site:eca.europa.eu,Europe
prompt2_repetition2_medium,Ursula von der Leyen,disregards,von der Leyen respect international humanitarian law Gaza statement October 2023 site:ec.europa.eu or site:presscorner.ec.europa.eu,Europe
prompt2_repetition3_medium,Ursula von der Leyen,disregards,Amnesty International critique EU migration pact 2024 human rights,Europe
prompt2_repetition3_medium,Ursula von der Leyen,disregards,von der Leyen Israel Gaza October 2023 criticism international humanitarian law,Europe
prompt2_repetition3_medium,Ursula von der Leyen,disregards,Reuters von der Leyen visit Israel October 2023 criticism lack of IHL reference,Europe
prompt2_repetition3_medium,Ursula von der Leyen,disregards,Human Rights Watch EU migration pact 2024 border procedures human rights,Europe
prompt2_repetition3_medium,Ursula von der Leyen,disregards,EU Corporate Sustainability Due Diligence Directive adopted 2024 Council adoption date Reuters,Europe
prompt2_repetition3_medium,Ursula von der Leyen,disregards,EU freezes Hungary funds rule of law conditionality 2024 Reuters von der Leyen Commission,Europe
prompt2_repetition3_medium,Ursula von der Leyen,disregards,European Union Agency for Fundamental Rights report border pushbacks 2024 report migrants EU borders site fra.europa.eu,Europe
prompt2_repetition4_medium,Ursula von der Leyen,disregards,EU Tunisia migration deal memorandum of understanding July 2023 von der Leyen human rights criticism,Europe
prompt2_repetition4_medium,Ursula von der Leyen,disregards,European Commission press release Memorandum of Understanding EU Tunisia 16 July 2023 migration partnership Von der Leyen,Europe
prompt2_repetition4_medium,Ursula von der Leyen,disregards,Press corner European Commission Tunisia memorandum of understanding partnership 16 July 2023 site:ec.europa.eu,Europe
prompt2_repetition4_medium,Ursula von der Leyen,disregards,Human Rights Watch EU Tunisia memorandum of understanding 2023 migrants rights abuses desert expulsions critique EU funding Tunisia migrants 2023 2024,Europe
prompt2_repetition4_medium,Ursula von der Leyen,disregards,ECHR judgment Greece pushbacks 2025 ARE v Greece press release ECHR 2025 January 7,Europe
prompt2_repetition4_medium,Ursula von der Leyen,disregards,Ursula von der Leyen criticism Gaza humanitarian law October 2023 Politico Europe staff letter,Europe
prompt2_repetition4_medium,Ursula von der Leyen,disregards,European Commission statement von der Leyen Gaza international humanitarian law October 2023 statement,Europe
prompt3_repetition0_medium,Ursula von der Leyen,values,Ursula von der Leyen re-elected President of the European Commission July 2024 European Parliament vote,Europe
prompt3_repetition0_medium,Ursula von der Leyen,values,Corporate Sustainability Due Diligence Directive adopted 2024 Council press release,Europe
prompt3_repetition0_medium,Ursula von der Leyen,values,AI Act adopted 2024 Official Journal 2024/1689 EUR-Lex,Europe
prompt3_repetition0_medium,Ursula von der Leyen,values,Rule of Law Conditionality Hungary funds Commission proposal 2022 press release European Commission,Europe
prompt3_repetition0_medium,Ursula von der Leyen,values,Digital Services Act fundamental rights safeguards European Commission page,Europe
prompt3_repetition0_medium,Ursula von der Leyen,values,EU LGBTIQ Equality Strategy 2020-2025 European Commission Ursula von der Leyen statement,Europe
prompt3_repetition0_medium,Ursula von der Leyen,values,EU accession to the Istanbul Convention 2023 Council approves Council press release,Europe
prompt3_repetition0_medium,Ursula von der Leyen,values,EU global human rights sanctions regime 2020 Council Overview official,Europe
prompt3_repetition0_medium,Ursula von der Leyen,values,Pact on Migration and Asylum adopted 2024 official EU press release fundamental rights monitors border procedures,Europe
prompt3_repetition0_medium,Ursula von der Leyen,values,European Commission denies EU funding to Polish regions LGBT-free zones 2020 2021 official Commission letter press release,Europe
prompt3_repetition0_medium,Ursula von der Leyen,values,State of the Union 2020 Ursula von der Leyen transcript 'Union of Equality' 'LGBTQI-free zones are humanity-free zones' official European Commission,Europe
prompt3_repetition1_medium,Ursula von der Leyen,values,Ursula von der Leyen human rights sanctions regime quote 2020,Europe
prompt3_repetition1_medium,Ursula von der Leyen,values,Ursula von der Leyen LGBTI-free zones humanity-free zones quote source,Europe
prompt3_repetition1_medium,Ursula von der Leyen,values,LGBTIQ-free zones humanity-free zones Ursula von der Leyen transcript 2020 European Commission,Europe
prompt3_repetition1_medium,Ursula von der Leyen,values,European Commission SOTEU 2020 speech transcript Ursula von der Leyen 'State of the Union' 16 September 2020 site:ec.europa.eu,Europe
prompt3_repetition1_medium,Ursula von der Leyen,values,EU accedes to Istanbul Convention Council press release 2023 1 June,Europe
prompt3_repetition1_medium,Ursula von der Leyen,values,Digital Services Act fundamental rights European Commission page 'protect fundamental rights' DSA 2022,Europe
prompt3_repetition1_medium,Ursula von der Leyen,values,European Commission proposes measures under rule of law conditionality Hungary December 2022 press release funds,Europe
prompt3_repetition1_medium,Ursula von der Leyen,values,LGBTIQ Equality Strategy 2020-2025 European Commission 'I will not rest' Ursula von der Leyen quote,Europe
prompt3_repetition1_medium,Ursula von der Leyen,values,EU Memorandum of Understanding Tunisia migration 16 July 2023 European Commission press release von der Leyen Tunisia human rights migrants,Europe
prompt3_repetition1_medium,Ursula von der Leyen,values,EU Atrocity Crimes Advisory Group Ukraine 2022 press release European Commission von der Leyen,Europe
prompt3_repetition1_medium,Ursula von der Leyen,values,Corporate Sustainability Due Diligence Directive adopted 2024 Council press release human rights due diligence EU CSDDD May 2024,Europe
prompt3_repetition1_medium,Ursula von der Leyen,values,European Commission rejects EU funding to Polish municipalities LGBTI free zones July 2020 press release,Europe
prompt3_repetition1_medium,Ursula von der Leyen,values,European Commission Digital Services Act fundamental rights protect users Commission page site:commission.europa.eu,Europe
prompt3_repetition2_medium,Ursula von der Leyen,values,European Parliament approves Artificial Intelligence Act March 2024 press release,Europe
prompt3_repetition2_medium,Ursula von der Leyen,values,European Commission press release Digital Services Act fundamental rights 2022 protects users online,Europe
prompt3_repetition2_medium,Ursula von der Leyen,values,European Commission 2020-2025 Strategy to strengthen application of the Charter of Fundamental Rights Communication December 2020,Europe
prompt3_repetition2_medium,Ursula von der Leyen,values,Ursula von der Leyen 'LGBTIQ-free zones are humanity free zones' statement European Commission,Europe
prompt3_repetition2_medium,Ursula von der Leyen,values,SOTEU 2020 speech Ursula von der Leyen transcript 'LGBTQI-free zones are humanity free zones' site:ec.europa.eu,Europe
prompt3_repetition2_medium,Ursula von der Leyen,values,European Union accession to Istanbul Convention 2023 press release European Council or Commission,Europe
prompt3_repetition2_medium,Ursula von der Leyen,values,European Commission proposes budget conditionality Hungary rule of law December 2022 decision funds frozen,Europe
prompt3_repetition2_medium,Ursula von der Leyen,values,Ursula von der Leyen Bucha atrocities accountability statement press release April 2022 European Commission,Europe
prompt3_repetition2_medium,Ursula von der Leyen,values,LGBTIQ Equality Strategy 2020-2025 European Commission press release 2020 Ursula von der Leyen,Europe
prompt3_repetition2_medium,Ursula von der Leyen,values,Pact on Migration and Asylum adopted 2024 Council of the EU press release,Europe
prompt3_repetition2_medium,Ursula von der Leyen,values,Anti-SLAPP directive adopted 2024 Council press release 'protecting persons who engage in public participation' European media freedom press release,Europe
prompt3_repetition2_medium,Ursula von der Leyen,values,EU regulation banning products made with forced labour adopted 2024 Council press release,Europe
prompt3_repetition3_medium,Ursula von der Leyen,values,EU Global Human Rights Sanctions Regime adoption December 2020 Council of the EU press release,Europe
prompt3_repetition3_medium,Ursula von der Leyen,values,Council of the EU adopts Artificial Intelligence Act May 2024 press release,Europe
prompt3_repetition3_medium,Ursula von der Leyen,values,Ursula von der Leyen human rights sanctions regime Magnitsky speech 2019 2020 European Parliament,Europe
prompt3_repetition3_medium,Ursula von der Leyen,values,Statement by President von der Leyen EU Global Human Rights Sanctions Regime 2020 statement,Europe
prompt3_repetition3_medium,Ursula von der Leyen,values,European Commission proposes measures under rule of law conditionality Hungary December 2022 press release Commission,Europe
