prompt_id,politician,prompt_version,region,empty_reasoning,empty_web_search,empty_reasoning_and_web_search,total_reasoning,total_web_search,total_urls,median_urls_per_query,input_tokens,output_tokens,total_tokens,first_response_is_reasoning,first_response_is_empty_reasoning,first_empty_reasoning_second_web_search
prompt19_repetition3_medium,Manfred Weber,values,Europe,2,0,2,8,7,68,10.0,34466,6982,41448,True,False,False
prompt19_repetition4_medium,Manfred Weber,values,Europe,8,0,8,9,8,83,10.5,38068,6834,44902,True,True,True
prompt1_repetition0_medium,Emmanuel Macron,values,Europe,9,0,9,14,13,113,10.0,58849,6416,65265,True,False,False
prompt1_repetition1_medium,Emmanuel Macron,values,Europe,7,0,7,11,10,89,10.0,46852,6787,53639,True,False,False
prompt1_repetition2_medium,Emmanuel Macron,values,Europe,4,0,4,8,7,59,10.0,33816,5772,39588,True,True,True
prompt1_repetition3_medium,Emmanuel Macron,values,Europe,6,1,7,9,8,68,10.0,38477,5394,43871,True,False,False
prompt1_repetition4_medium,Emmanuel Macron,values,Europe,4,0,4,15,14,117,9.5,63509,7182,70691,True,False,False
prompt2_repetition0_medium,Ursula von der Leyen,disregards,Europe,6,0,6,9,8,87,11.0,37512,6093,43605,True,True,True
prompt2_repetition1_medium,Ursula von der Leyen,disregards,Europe,5,0,5,8,7,71,10.0,34761,6120,40881,True,False,False
prompt2_repetition2_medium,Ursula von der Leyen,disregards,Europe,5,0,5,8,7,72,10.0,35297,6337,41634,True,False,False
prompt2_repetition3_medium,Ursula von der Leyen,disregards,Europe,3,0,3,8,7,73,10.0,33923,5784,39707,True,False,False
prompt2_repetition4_medium,Ursula von der Leyen,disregards,Europe,1,0,1,8,7,72,10.0,34222,6539,40761,True,True,True
prompt3_repetition0_medium,Ursula von der Leyen,values,Europe,9,2,11,14,13,114,10.0,57604,6266,63870,True,False,False
prompt3_repetition1_medium,Ursula von der Leyen,values,Europe,8,2,10,16,15,124,9.0,59570,7013,66583,True,False,False
prompt3_repetition2_medium,Ursula von der Leyen,values,Europe,7,0,7,13,12,108,9.0,53753,6557,60310,True,False,False
prompt3_repetition3_medium,Ursula von der Leyen,values,Europe,7,0,7,10,9,87,10.0,41696,5289,46985,True,True,True
prompt3_repetition4_medium,Ursula von der Leyen,values,Europe,11,0,11,14,13,123,10.0,57478,6236,63714,True,False,False
prompt4_repetition0_medium,Giorgia Meloni,disregards,Europe,4,0,4,11,10,103,10.0,46537,8187,54724,True,False,False
prompt4_repetition1_medium,Giorgia Meloni,disregards,Europe,4,0,4,13,12,122,10.0,54184,5862,60046,True,False,False
prompt4_repetition2_medium,Giorgia Meloni,disregards,Europe,5,0,5,13,12,123,11.0,53775,7926,61701,True,False,False
prompt4_repetition3_medium,Giorgia Meloni,disregards,Europe,3,0,3,7,6,65,11.0,30094,6623,36717,True,True,True
prompt4_repetition4_medium,Giorgia Meloni,disregards,Europe,4,0,4,11,10,98,10.5,46751,6553,53304,True,True,True
prompt5_repetition0_medium,Giorgia Meloni,values,Europe,0,0,0,4,3,31,10.0,17483,5390,22873,True,False,False
prompt5_repetition1_medium,Giorgia Meloni,values,Europe,5,1,6,10,9,77,10.0,40060,6650,46710,True,False,False
prompt5_repetition2_medium,Giorgia Meloni,values,Europe,5,0,5,8,7,64,10.0,34211,7077,41288,True,False,False
prompt5_repetition3_medium,Giorgia Meloni,values,Europe,5,0,5,12,11,103,9.0,49829,6878,56707,True,False,False
prompt5_repetition4_medium,Giorgia Meloni,values,Europe,5,0,5,8,7,54,9.0,34098,6024,40122,True,False,False
prompt6_repetition0_medium,Donald Tusk,disregards,Europe,1,0,1,4,3,26,9.0,17515,5387,22902,True,False,False
prompt6_repetition1_medium,Donald Tusk,disregards,Europe,3,0,3,9,8,79,11.0,38288,5556,43844,True,False,False
prompt6_repetition2_medium,Donald Tusk,disregards,Europe,7,0,7,12,11,101,9.0,52476,7121,59597,True,True,True
prompt6_repetition3_medium,Donald Tusk,disregards,Europe,3,0,3,7,6,40,8.5,30304,5939,36243,True,True,True
prompt6_repetition4_medium,Donald Tusk,disregards,Europe,2,0,2,6,5,47,9.0,25724,6599,32323,True,False,False
prompt7_repetition0_medium,Donald Tusk,values,Europe,10,0,10,13,12,122,10.0,54482,6988,61470,True,True,True
prompt7_repetition1_medium,Donald Tusk,values,Europe,1,0,1,5,4,39,9.5,22513,5811,28324,True,False,False
prompt7_repetition2_medium,Donald Tusk,values,Europe,5,0,5,12,11,109,10.0,49111,6869,55980,True,False,False
prompt7_repetition3_medium,Donald Tusk,values,Europe,7,0,7,12,11,113,10.0,50117,7057,57174,True,True,True
prompt7_repetition4_medium,Donald Tusk,values,Europe,5,0,5,13,12,129,11.0,54631,7177,61808,True,False,False
prompt8_repetition0_medium,Pedro Sanchez,disregards,Europe,0,0,0,1,0,0,0.0,4601,3424,8025,True,False,False
prompt8_repetition1_medium,Pedro Sanchez,disregards,Europe,5,0,5,7,6,54,9.5,29799,5457,35256,True,True,True
prompt8_repetition2_medium,Pedro Sanchez,disregards,Europe,4,1,5,10,9,72,9.0,41056,6044,47100,True,True,True
prompt8_repetition3_medium,Pedro Sanchez,disregards,Europe,2,0,2,6,5,55,11.0,26351,4625,30976,True,False,False
prompt8_repetition4_medium,Pedro Sanchez,disregards,Europe,6,3,9,12,11,79,8.0,51482,5580,57062,True,False,False
prompt9_repetition0_medium,Pedro Sanchez,values,Europe,9,2,11,15,14,114,9.0,63317,6144,69461,True,True,True
prompt9_repetition1_medium,Pedro Sanchez,values,Europe,7,0,7,18,17,158,9.0,73712,7943,81655,True,False,False
prompt9_repetition2_medium,Pedro Sanchez,values,Europe,6,0,6,12,11,98,8.0,52592,7212,59804,True,False,False
prompt9_repetition3_medium,Pedro Sanchez,values,Europe,8,3,11,14,13,103,9.0,56637,5580,62217,True,False,False
prompt9_repetition4_medium,Pedro Sanchez,values,Europe,4,0,4,14,13,121,9.0,57379,6059,63438,True,False,False
